Standing screen display size,Screen Resolution,Max Screen Resolution,Brand,Item model number,Item Weight,Unit,Item Weight in Kg,Length(In),Width(In),Height(In),Item Dimensions  LxWxH,Color,Manufacturer,ASIN,Country of Origin,Date First Available,Price,Series,Is Discontinued By Manufacturer,Voltage,RAM,Processor Count,Computer Memory Type,Department,Customer Reviews,Power Source,Package Dimensions,Best Sellers Rank,Assembled Height,Assembled Length,Assembled Width,Style,Material,Number of Lights,Special Features,Shade Material,Switch Style,Switch Installation Type,Batteries Included?,Batteries Required?,Type of Bulb,Luminous Flux,Wattage,Processor,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Graphics Card Ram Size,Wireless Type,Hardware Platform,Operating System,Rear Webcam Resolution,Processor Brand,Flash Memory Size,Hard Drive Interface,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Batteries,Material Type,Size,Manufacturer Part Number,Average Battery Life (in hours),Language,Number of Items,Other display features,Colour,Card Description,Hard Drive Rotational Speed,National Stock Number,Ink Color,Brand Name,Color Name,Device interface - primary,Included Components,Total Recycled Content Percentage,Post-Consumer Recycled Content Percentage,Part Number,Item Package Quantity,Battery Cell Type,Display Type,Warranty,Optical Drive Type,Scanner Resolution,Connectivity technologies,Domestic Shipping,International Shipping,Display Style,Usage,Warranty Description
28 Inches,3840 x 2160,3840 x 2160 Pixels,Lenovo,65FAGCC2US,11.45,pounds,5.1525,8.66,25.08,17.72,8.66 x 25.08 x 17.72 inches,Black,Lenovo,B085R9Q1K6,China,23-Oct-19,$336.92 ,L28u-30,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WALI,RDTT03,2,pounds,0.9,,,,,Black,WALI,B094QTGHNZ,,18-Aug-20,$11.99 ,Monitor Stand Riser Height Adjustable,,,,,,,,,15.39 x 9.88 x 1.26 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920 x 1080,1920*1200,CHUWI,Herobox,3.1,pounds,1.395,7.36,5.43,1.46,7.36 x 5.43 x 1.46 inches,Carbon Black,,B082VZP76P,,,$199.00 ,Herobox,,,8 GB DDR4,4,DDR3 SDRAM,,18-Dec-19,DC,,,,,,,,,,,,,,,,,,2.7 GHz celeron,2.4 GHz,256 GB mechanical_hard_drive,"Intel® UHD Graphics 600 Gen9 12EU, 700MHz",Intel,8,"5 GHz Radio Frequency, 2.4 GHz Radio Frequency",PC,Windows 10 Home,400 Lines Per Inch,Intel,1 TB,ATA133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920x1080,1920 x 1080 Pixels,AOC,C24G1A,6.48,pounds,2.916,,,,,Black,AOC International,B08D3Y5PFZ,,15-Sep-20,$207.99 ,G Series,,,,,,,,,23.6 x 20 x 6.8 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 Inches,2560x1080,2560 x 1080 Pixels,Sceptre,C345W-2560UN,16.6,pounds,7.47,31.83,17.88,8.88,31.83 x 17.88 x 8.88 inches,Machine Black,Sceptre,B0812DHWCJ,China,11-Nov-19,$349.97 ,Sceptre 34-inch Curved UltraWide 21: 9 Creative LED Monitor 2560x1080 Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,2560 x 1440,2560 x 1440 Pixels,ASUS,VG27AQ,17.9,pounds,8.055,24.41,19.96,8.31,24.41 x 19.96 x 8.31 inches,Black,Asus,B07WQ4FXY9,China,14-Aug-19,$329.00 ,VG27AQ,,240 Volts,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,Acer,KB272HL bix,14.92,pounds,6.714,24.17,9.8,17.74,24.17 x 9.8 x 17.74 inches,Black,Acer,B07QPBXVBQ,,26-May-19,$223.49 ,KB272HL bix,,120 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,SAMSUNG,LC27T550FDNXZA,11,pounds,4.95,9.82,24.14,18.03,9.82 x 24.14 x 18.03 inches,DARK BLUE GRAY,Samsung,B087N3JPLF,Mexico,12-May-21,$229.99 ,T55 Curved LCD Monitor,,110 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.83,pounds,3.5235,17.24,11.42,0.67,,,Prechen,B0863881T1,,,$102.99 ,,,,,,,,19-Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920x1080 Pixels,Sceptre,E275B-FWD240,10.44,pounds,4.698,24.13,21.14,9.27,24.13 x 21.14 x 9.27 inches,Black,Sceptre,B0911MSYGW,China,24-Mar-21,$298.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,210-AXHJ,7.26,pounds,3.267,21.17,2.12,12.7,,,Dell Computers,B08WNQFWQN,,,$288.00 ,,,,,,,,15-Feb-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Lithium Polymer batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,ASUS,VG279Q,12.3,pounds,5.535,24.4,2,14.3,24.4 x 2 x 14.3 inches,Black,ASUS Computer International Direct,B07KXHTRT5,China,27-Nov-18,$229.00 ,VG279Q,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.5 Inches,,1600 x 900 Pixels,HP,V20,6.19,pounds,2.7855,7.48,18.21,13.92,7.48 x 18.21 x 13.92 inches,Black,Hewlett Packard,B08GSRWH6M,,4-Oct-20,$136.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Q2765C,13.57,pounds,6.1065,,,,,,GTEK ELECTRONICS CORP,B095VSC3KG,,,$293.87 ,,,,,,,,25-May-21,,27.1 x 17.5 x 7.6 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dell 27 QHD,16.72,pounds,7.524,17.85,24.08,7.35,,,Dell Computers,B094HPNDCF,,,$379.00 ,,,,,,,,10-May-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8 Inches,1920x1080,1920 x 1080 Pixels,AOC,G2490VX,7.08,pounds,3.186,7.86,16.18,21.3,7.86 x 16.18 x 21.3 inches,Black,AOC International,B08FJHMTZJ,,24-Sep-20,$189.00 ,G Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920 x 1080,1920X1080 Pixels,Sceptre,E248B-FPT168S,6.17,pounds,2.7765,21.21,15.75,5.95,21.21 x 15.75 x 5.95 inches,Black,Sceptre,B097QK6W46,China,22-Jun-21,$219.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SOUNDANCE,LS1,2.2,pounds,0.99,10.24,8.86,5.71,,A- silver,Soundance,B07D74DT3B,,,$26.99 ,,No,,,,,,22-May-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aluminum,For 10 to 15.6 Inches Laptop,LS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,SAMSUNG,LS27F354FHNXZA,11,pounds,4.95,9.75,24.65,18.2,9.75 x 24.65 x 18.2 inches,Black,Samsung,B07Y2RB6SV,,20-Oct-19,$264.99 ,"Samsung 27"" FHD Flat Monitor with Super-Slim Design - LS27F354FHNXZA",,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,1920 x 1080 Pixels,SAMSUNG,LS24R350FZNXZA,10,pounds,4.5,9.3,21.24,16.74,9.3 x 21.24 x 16.74 inches,Dark Blue Gray,Samsung,B091BCRJR7,China,9-May-21,$169.99 ,"Samsung 24"" FHD Monitor with Bezel-LESS Design - LS24R350FZNXZA",,110 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,2560 x 1440,2560 x 1440 Pixels,LG,32QN650-B,18.1,pounds,8.145,28.1,8.2,20.2,28.1 x 8.2 x 20.2 inches,Black,LG,B08J9PTTFQ,China,1-Sep-20,$296.99 ,32QN650-B,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.69,pounds,1.6605,,,,,,LANDZO,B08T5SZYQN,,,$188.99 ,,,,,,,,15-Jan-21,,17.28 x 11.1 x 3.19 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IX156UC 4K,4.12,pounds,1.854,14.29,8.78,0.24,,,"Cinotop Electronics Co., Ltd",B08XQSSZHM,China,,$299.00 ,,1-Mar-21,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,ViewSonic,VA2446MH-LED,9.02,pounds,4.059,8.32,22.49,15.78,8.32 x 22.49 x 15.78 inches,Black,ViewSonic,B074F28QNS,China,1-Jul-17,$179.99 ,VA,No,240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Inches,2560 x 1080,2560 x 1080 Pixels,LG,29WN600-W,10.4,pounds,4.68,27.1,8.2,12.3,27.1 x 8.2 x 12.3 inches,Silver,LG,B0876DBCBX,China,16-Apr-20,$249.96 ,29WN600-W,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,3840 x 2160 Pixels,LG,27UN850-W,13.5,pounds,6.075,24.1,9.2,17.7,24.1 x 9.2 x 17.7 inches,Silver,LG,B08CVTTNN4,China,1-Jul-20,$449.99 ,UltraFine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,1920 x 1080,1920 x 1080 Pixels,Acer,ED273 Abidpx,10.14,pounds,4.563,26.5,6.2,16.3,26.5 x 6.2 x 16.3 inches,Black,Acer,B075KFPJ5C,China,2-Oct-17,$234.14 ,ARED273OB,No,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Inches,2560x1080,2560 x 1080 Pixels,Sceptre,C305B-200UN1,12.2,pounds,5.49,27.8,16.1,7.4,27.8 x 16.1 x 7.4 inches,Metal Black,Sceptre,B07TXM7K4T,China,2-Jul-19,$331.57 ,,,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,1920x1080,1920 x 1080 Pixels,Sceptre,E275B-FPT165,7.25,pounds,3.2625,24.12,17.12,5.44,24.12 x 17.12 x 5.44 inches,Gunmetal Black,Sceptre,B08WWKJGDV,China,15-Feb-21,$240.86 ,E275B-FPT165,,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Inches,3840 x 2160,3840 x 2160 Pixels,Lenovo,65FAGCC2US,11.45,pounds,5.1525,8.66,25.08,17.72,8.66 x 25.08 x 17.72 inches,Black,Lenovo,B085R9Q1K6,China,23-Oct-19,$336.92 ,L28u-30,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plugable,UD-3900H,11.4,ounces,0.228,3.25,9.5,1,3.25 x 9.5 x 1 inches,,Plugable,B07BFJSYFM,,13-Mar-18,$99.00 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,2560 x 1440,2560 x 1440 Pixels,Acer,XV272U Pbmiiprzx,10.82,pounds,4.869,24.2,9.2,20.5,24.2 x 9.2 x 20.5 inches,BLACK,Acer,B07MQBPMJ2,China,28-Jan-19,$299.99 ,XV272U Pbmiiprzx,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920x1080 Pixels,Sceptre,E275B-FWD240,10.44,pounds,4.698,24.13,21.14,9.27,24.13 x 21.14 x 9.27 inches,Black,Sceptre,B0911MSYGW,China,24-Mar-21,$298.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,1920x1080 Pixels,ASUS,VG245H,11.3,pounds,5.085,22.1,8.4,14.2,22.1 x 8.4 x 14.2 inches,Black,ASUS Computer International Direct,B01JGYM5H6,China,26-Jul-16,$169.00 ,VG245H,No,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,2560 x 1440 Pixels,ASUS,VG27AQ1A,11.9,pounds,5.355,24.21,17.91,8.43,24.21 x 17.91 x 8.43 inches,BLACK,Asus,B08CZ8QJTX,China,18-Aug-20,$329.00 ,VG27AQ1A,,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080,Acer,27CH2 bix,15.84,pounds,7.128,24.1,8.7,17.8,24.1 x 8.7 x 17.8 inches,Black,Acer,B091G2FDMM,China,18-Apr-21,$159.99 ,27CH2 bix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plugable,UD-3900,0.32,ounces,0.0064,6.45,3.22,4.02,6.45 x 3.22 x 4.02 inches,Black,Plugable Technologies,B00ECDM78E,,15-Aug-13,$99.00 ,,No,,,,,,,DC,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WALI,RDTT03,2,pounds,0.9,,,,,Black,WALI,B094QTGHNZ,,18-Aug-20,$11.99 ,Monitor Stand Riser Height Adjustable,,,,,,,,,15.39 x 9.88 x 1.26 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LC32R502FHNXZA,21.3,pounds,9.585,,,,,,Samsung,B08CXD9TFZ,,,$305.00 ,,,,,,,,13-Jul-20,,33 x 22 x 9 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.5 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,ASUS,VP228QG,9.3,pounds,4.185,20.2,7.9,14.7,20.2 x 7.9 x 14.7 inches,Black,Asus,B07HQYQ63F,China,19-Oct-18,$144.99 ,VP228QG,No,,,,,Womens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,3840 x 2160 Pixels,SAMSUNG,LS27A800UJNXGO,14.8,pounds,6.66,7.73,24.23,21.73,7.73 x 24.23 x 21.73 inches,Black,Samsung,B08YFM69Z4,Mexico,8-Apr-21,$369.99 ,Samsung A800 Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,1920 x 1080,1920 x 1080 Pixels,Dell,E2720HS,13.47,pounds,6.0615,24.47,20.01,7.36,24.47 x 20.01 x 7.36 inches,Black,Dell Computers,B0849N549L,,18-Jan-20,$258.00 ,,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.34,pounds,0.603,,,,,,cntorich,B07YF98LDJ,,,$32.99 ,,,,,,,,26-Sep-19,,14.92 x 5.87 x 1.81 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ITNRSIIET,Pink Marble,2.46,ounces,0.0492,7.87,7.87,0.12,7.87 x 7.87 x 0.12 inches,Pink Marble,ITNRSIIET,B07ZSYNSSG,,30-Oct-19,$6.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,3840 x 2160 Pixels,SAMSUNG,LS27A800UJNXGO,14.8,pounds,6.66,7.73,24.23,21.73,7.73 x 24.23 x 21.73 inches,Black,Samsung,B08YFM69Z4,Mexico,8-Apr-21,$369.99 ,Samsung A800 Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.5 Inches,,2560 x 1440 Pixels,ASUS,VP32AQ,17.24,pounds,7.758,28.13,7.94,19.12,28.13 x 7.94 x 19.12 inches,BLACK,Asus,B096PS1Z8N,China,26-May-21,$279.00 ,VP32AQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080,Acer,CB272 bmiprx,15.82,pounds,7.119,24.5,9.2,20.8,24.5 x 9.2 x 20.8 inches,Black,Acer,B07WMTLW2R,China,1-Sep-19,$199.99 ,CB272 bmiprx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,1920 x 1080,1920 x 1080 Pixels,ASUS,VP278QG,10.6,pounds,4.77,25.3,17.5,8.6,25.3 x 17.5 x 8.6 inches,BLACK,Asus,B0768N21RY,China,7-Oct-17,$149.99 ,VP278QG,No,240 Volts,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 Inches,2560 x 1080,2560 x 1080 Pixels,LG,34WN650-W,16.9,pounds,7.605,32.3,8.9,22.3,32.3 x 8.9 x 22.3 inches,Silver,LG,B087JB656Q,China,1-Apr-20,$399.99 ,34WN650-W,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080,AOC,27B2H,4.8,pounds,2.16,17.97,24.1,7.2,17.97 x 24.1 x 7.2 inches,Black,AOC International,B07WVNBY1G,China,11-Sep-18,$199.99 ,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,1920 x 1080,1920 x 1080,LG,32MP60G-B,12.8,pounds,5.76,28.7,8.5,20.2,28.7 x 8.5 x 20.2 inches,Black,LG,B08YJR5V8V,China,10-Mar-21,$246.99 ,32MP60G-B,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Inches,,1920x1080 Pixels,Samsung Business,LS22A330NHNXZA,5.5,pounds,2.475,7.1,19.9,14.4,7.1 x 19.9 x 14.4 inches,Black,Samsung,B08YFKYBR3,China,25-Mar-21,$139.57 ,S22A330NHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,UGREEN,30767,7,ounces,0.14,4.13,2.09,0.63,4.13 x 2.09 x 0.63 inches,,Ugreen Group Limited,B01MXXQKGM,,31-Mar-17,$19.99 ,,No,5 Volts,,,72-Pin EDO SIMM Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mac os x, Linux, Windows xp, Chrome os, Windows vista, Windows 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Inches,,1920x1080 Pixels,Samsung Business,LS22A330NHNXZA,5.5,pounds,2.475,7.1,19.9,14.4,7.1 x 19.9 x 14.4 inches,Black,Samsung,B08YFKYBR3,China,25-Mar-21,$139.57 ,S22A330NHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,2560 x 1440,Acer,KA272U biipx,9.6,pounds,4.32,24.1,7.9,17.8,24.1 x 7.9 x 17.8 inches,27-inch,Acer,B08JQSBNYH,China,1-Nov-20,$219.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Inches,,3840 x 2160 Pixels,HP,V28 4K,12.11,pounds,5.4495,2.21,25.93,18.37,2.21 x 25.93 x 18.37 inches,Black,Hewlett Packard,B08G5T5W76,,4-Oct-20,$347.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m27f,12.38,pounds,5.571,17.21,23.93,7.4,,,HP_,B097SMZBSN,,,$273.00 ,,,,,,,,24-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1920 x 1080 pixels,1920 x 1080 Pixels,ASUS,VA27EHE,10,pounds,4.5,24.1,17.86,9.45,24.1 x 17.86 x 9.45 inches,Black,Asus,B082BYRR3L,China,4-Dec-19,$159.00 ,VA27EHE,,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,FHD 1920 x 1080,Dell,SE2419Hx,8.62,pounds,3.879,21.24,6.02,16.28,21.24 x 6.02 x 16.28 inches,Black,"Dell Marketing USA, LP",B07HKV5RLG,,12-Sep-18,$259.00 ,SE2419hx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,Samsung Business,LF27T374FWNXGO,7.7,pounds,3.465,9.1,24.1,19.5,9.1 x 24.1 x 19.5 inches,Black,Samsung,B08YGS5LJV,Mexico,16-Apr-21,$264.99 ,F27T374FWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,1920x1080,1920 x 1080 Pixels,AOC,G2790VX,9.57,pounds,4.3065,24.21,17.55,7.86,24.21 x 17.55 x 7.86 inches,Black,AOC International,B08FJH5WWD,China,8-Oct-20,$199.99 ,G Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,3840 x 2160,3840 x 2160 Pixels,LG,32UN550-W,18.5,pounds,8.325,28.1,8.9,19.1,28.1 x 8.9 x 19.1 inches,Silver,LG,B08MV7B7WF,China,1-Nov-20,$396.99 ,32UN550-W,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.54,pounds,0.693,172.44,50.79,16.14,,,iClever,B07VPMTWMC,,,$32.99 ,,,,,,,,19-Sep-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1CAT6E-BLUE-24PK,11.5,ounces,0.23,2,6.5,7.5,,,,B00XIFMQ2Y,,China,$31.99 ,,GoDirectInc.com,,,,,,No,,,11-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Inches,2560 x 1080,2560 x 1080,LG,29WP60G-B,10.6,pounds,4.77,27.1,8.9,18.7,27.1 x 8.9 x 18.7 inches,Black,LG,B08V86LGBS,China,28-Jan-21,$249.99 ,UltraWide,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8 Inches,,1920 x 1080,Acer,VG240Y Pbiip,11.62,pounds,5.229,21.3,9.4,16.2,21.3 x 9.4 x 16.2 inches,Black,Acer,B07VFPYRP3,China,4-Aug-19,$199.99 ,VG240Y Pbiip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,3840 x 2160 Pixels,ASUS,XG27UQR,17.64,pounds,7.938,24.95,16.63,10.02,24.95 x 16.63 x 10.02 inches,BLACK,Asus,B09B8WLYGD,China,27-Jul-21,$799.00 ,XG27UQR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Inches,,3840 x 2160 Pixels,HP,V28 4K,12.11,pounds,5.4495,2.21,25.93,18.37,2.21 x 25.93 x 18.37 inches,Black,Hewlett Packard,B08G5T5W76,,4-Oct-20,$347.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,Gigabyte,G27FC A-SA,19.51,pounds,8.7795,24.17,14.54,2.89,24.17 x 14.54 x 2.89 inches,Black,Gigabyte,B0927959GD,China,5-Apr-21,$219.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,SAMSUNG,LS27R35AFHNXZA,9.92,pounds,4.464,9.86,24.08,18.22,9.86 x 24.08 x 18.22 inches,Dark Blue Gray,Samsung,B08WYKH8RF,,28-Mar-21,$299.99 ,Samsung LED Monitor,,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
